id,pid,name,role_title,department,email,phone
ceo,,João Silva,CEO,Diretoria,joao.silva@exemplo.com,(11) 99999-0001
cto,ceo,Maria Santos,CTO,Tecnologia,maria.santos@exemplo.com,(11) 99999-0002
cfo,ceo,Pedro Oliveira,CFO,Financeiro,pedro.oliveira@exemplo.com,(11) 99999-0003
hr_manager,ceo,Sandra Pereira,Gerente de RH,Recursos Humanos,sandra.pereira@exemplo.com,(11) 99999-0012
dev_manager,cto,Ana Costa,Gerente de Desenvolvimento,Desenvolvimento,ana.costa@exemplo.com,(11) 99999-0004
qa_manager,cto,Carlos Lima,Gerente de QA,Qualidade,carlos.lima@exemplo.com,(11) 99999-0005
dev_senior,dev_manager,Fernanda Rocha,Desenvolvedora Sênior,Desenvolvimento,fernanda.rocha@exemplo.com,(11) 99999-0006
dev_pleno,dev_manager,Roberto Alves,Desenvolvedor Pleno,Desenvolvimento,roberto.alves@exemplo.com,(11) 99999-0007
dev_junior,dev_manager,Juliana Mendes,Desenvolvedora Júnior,Desenvolvimento,juliana.mendes@exemplo.com,(11) 99999-0008
qa_analyst,qa_manager,Marcos Fernandes,Analista de QA,Qualidade,marcos.fernandes@exemplo.com,(11) 99999-0009
qa_tester,qa_manager,Luciana Gomes,Testadora,Qualidade,luciana.gomes@exemplo.com,(11) 99999-0010
finance_analyst,cfo,Ricardo Torres,Analista Financeiro,Financeiro,ricardo.torres@exemplo.com,(11) 99999-0011
